message,category
My internet is not working,IT Support
My PC is very slow,IT Support
Send someone to fix the printer,IT Support
My laptop crashed again,IT Support
Restart the modem please,IT Support
The projector is not turning on,IT Support
جهازي يعلق كثير,IT Support
ما اقدر اتصل بالنت,IT Support
Outlook is not loading,IT Support
My screen is frozen,IT Support
ما يشتغل اللابتوب,IT Support
مشاكل في الاتصال بالشبكة,IT Support
I need a whiteboard marker,IT Request
Please provide extra chairs for the session,IT Request
احتاج طابعة جديدة للقسم,IT Request
ابي لوحة ذكية للاجتماع,IT Request
The projector bulb needs replacement,IT Request
The printer is jammed,IT Request
The printer is out of paper,IT Request
I need a new monitor,IT Request
The conference room needs a new table,IT Request
Please fix the broken chair,IT Request
I need a new laptop,IT Request
The printer is not connecting to the network,IT Support
The Wi-Fi is down in the conference room,IT Support     
Can I get a headset for the call?,IT Request         



message,category
I need someone to clean the meeting room,Cleaning
I spilled coffee on the carpet,Cleaning
"Clean the kitchen, please",Cleaning
The trash is full in office 2,Cleaning
ابغى احد ينظف الطاولة,Cleaning
الممر متسخ جدًا,Cleaning
Please clean the lobby,Cleaning
The floor is sticky in room 4,Cleaning
نظفوا الممر الرئيسي,Cleaning
الحمام يحتاج تنظيف,Cleaning     
Please clean the windows in the conference room,Cleaning
The fridge needs to be cleaned,Cleaning
The microwave is dirty,Cleaning
Please clean the coffee machine,Cleaning
The office needs dusting,Cleaning
Please vacuum the carpets,Cleaning
The meeting room needs mopping,Cleaning
Please clean the whiteboard,Cleaning


message,category
Can I get a coffee in the break room?,Coffee Request
Please bring me a cappuccino,Coffee Request
Can I have a latte in the office?,Coffee Request
I need a coffee break,Coffee Request
Please make me a mocha,Coffee Request
Can I get a tea instead?,Coffee Request
Please bring me a coffee to my desk,Coffee Request
Can I have a coffee with milk?,Coffee Request
Please bring me a coffee to the meeting room,Coffee Request
Can I get a coffee to go?,Coffee Request
Can I have a coffee with sugar?,Coffee Request  
Please bring me a coffee with cream,Coffee Request
Can I get a coffee with no sugar?,Coffee Request    
Please bring me a coffee with almond milk,Coffee Request
Can I have a coffee with soy milk?,Coffee Request
Please bring me a coffee with oat milk,Coffee Request
Can I get a coffee with coconut milk?,Coffee Request
Please bring me a coffee with hazelnut syrup,Coffee Request 
Can I have a coffee with vanilla syrup?,Coffee Request
Please bring me a coffee with caramel syrup,Coffee Request
Can I get a coffee with chocolate syrup?,Coffee Request
Please bring me a coffee with cinnamon,Coffee Request
Can I have a coffee with whipped cream?,Coffee Request
Please bring me a coffee with extra foam,Coffee Request
Can I get a coffee with a shot of espresso?,Coffee Request  
Please bring me a coffee with a splash of cold brew,Coffee Request
Can I have a coffee with a hint of peppermint?,Coffee Request
Please bring me a coffee with a dash of nutmeg,Coffee Request   
Can I get a coffee with a sprinkle of cocoa?,Coffee Request
Please bring me a coffee with a touch of honey,Coffee Request   
Can I have a coffee with a twist of lemon?,Coffee Request
Can I get a cappuccino to office 5?,Coffee Request
I'd like an espresso in the break room,Coffee Request
Bring me a latte please,Coffee Request
Can someone make Arabic coffee?,Coffee Request
فيه قهوة بالغرفة ٣؟,Coffee Request
ابغى كابتشينو لدوام الصباح,Coffee Request
Can I have a black coffee?,Coffee Request
Bring Turkish coffee to meeting room,Coffee Request
ابغى قهوة عربية بالحين,Coffee Request
جيبوا لي كوفي سادة,Coffee Request
water,Coffee Request
Please refill the water cooler,Coffee Request
Can I get a bottle of water?,Coffee Request
Please bring me a glass of water,Coffee Request
Can I have a sparkling water?,Coffee Request
Please bring me a bottle of sparkling water,Coffee Request
Can I get a bottle of still water?,Coffee Request
Please bring me a glass of still water,Coffee Request
Can I have a bottle of flavored water?,Coffee Request
Please bring me a glass of flavored
water,Coffee Request
Can I get a bottle of mineral water?,Coffee Request
Please bring me a glass of mineral water,Coffee Request
Can I have a bottle of coconut water?,Coffee Request
            




message,category
The air conditioner is not working,Maintenance
The heater is broken,Maintenance                 
Air conditioner is not cooling,Maintenance
Please refill the water cooler,Maintenance
There's a leak in the bathroom,Maintenance
The lights are flickering,Maintenance
Send technician to check power issue,Maintenance
المكيف خربان,Maintenance
فيه عطل في السخان,Maintenance
The elevator is not working,Maintenance
The door lock is broken,Maintenance
The fridge is not cooling,Maintenance
The heating system is not functioning,Maintenance
The water dispenser is empty,Maintenance
The ceiling fan is not working,Maintenance
The security system is malfunctioning,Maintenance   
The window is broken,Maintenance
The sink is clogged,Maintenance 
The toilet is not flushing,Maintenance
The garage door is stuck,Maintenance    
The heating is not working,Maintenance
The ventilation system is not working,Maintenance   
The washing machine is not spinning,Maintenance
The dryer is not heating,Maintenance    
The dishwasher is not draining,Maintenance
The microwave is not heating,Maintenance    
The refrigerator is making a strange noise,Maintenance
The oven is not working,Maintenance
The sink is leaking again,Maintenance
Can someone check the power outage?,Maintenance
فيه خلل في الكهرباء,Maintenance
المكيف يطلع صوت مزعج,Maintenance


